Custom.Data.position,Custom.Data.salary_min,Custom.Data.salary_max,Custom.Data.experience,Custom.Data.degree,Custom.Data.work_place,Custom.Data.company_name,Custom.Data.company_type,Custom.Data.company_finance,Custom.Data.company_scale,Custom.Data.bonus,Custom.Data.url
资深PHP专家,25k,40k,经验5-10年,本科,北京,会小二网,企业服务,B轮,150-500人,行业领先、知名VC、精英团队、期权奖励,https://www.lagou.com/jobs/4199143.html
运维开发高级工程师,20k,30k,经验5-10年,大专,上海,浦发信用卡,金融,上市公司,2000人以上,绩效工资,https://www.lagou.com/jobs/4596603.html
后端开发工程师,15k,30k,经验3-5年,本科,北京,商汤科技,人工智能,C轮,2000人以上,AI独角兽 行业大牛,https://www.lagou.com/jobs/5595239.html
资深java研发工程师,30k,50k,经验3-5年,本科,北京,贝壳,房产家居,D轮及以上,2000人以上,"15薪,大平台,三餐免费,健身房",https://www.lagou.com/jobs/4890809.html
测试开发工程师-车机,20k,40k,经验3-5年,本科,北京,阿里巴巴-高德,工具,上市公司,2000人以上,福利待遇、发展前景,https://www.lagou.com/jobs/5556047.html
Java开发工程师（苏州研发中心）,15k,30k,经验3-5年,本科,苏州,收钱吧,移动互联网,C轮,500-2000人,平台大，福利好，牛人多，晋升机会,https://www.lagou.com/jobs/5319585.html
高级DB专家,50k,80k,经验5-10年,本科,杭州,呆萝卜,"移动互联网,电商",A轮,500-2000人,新零售赛道 成熟商业模式,https://www.lagou.com/jobs/5532046.html
测试开发专家（MJ000720）,30k,50k,经验5-10年,本科,上海,挖财,工具,D轮及以上,500-2000人,"晋升空间,公司平台,弹性工作",https://www.lagou.com/jobs/5029872.html
SPBU-后端开发工程师（营收）,18k,35k,经验3-5年,本科,广州,酷狗音乐,文娱丨内容,上市公司,500-2000人,餐饮补贴 绩效奖励 双休,https://www.lagou.com/jobs/5568013.html
高级PHP工程师,20k,40k,经验5-10年,本科,北京,会小二网,企业服务,B轮,150-500人,行业领先；知名VC；精英团队；股票期权,https://www.lagou.com/jobs/4101856.html
Java开发工程师,10k,20k,经验3-5年,本科,广州,欢聚时代（YY Inc）,文娱丨内容,上市公司,2000人以上,"平台大,福利多",https://www.lagou.com/jobs/5094370.html
大数据开发工程师,10k,15k,经验1-3年,大专,深圳,博悦科创,移动互联网,不需要融资,500-2000人,"五险一金,双休,年终奖,年度旅游",https://www.lagou.com/jobs/6015987.html
资深JAVA开发工程师/架构师,28k,35k,经验5-10年,本科,深圳,SHEIN,"电商,移动互联网",C轮,2000人以上,牛人共事 行业前景好 超强团队,https://www.lagou.com/jobs/5854547.html
JAVA开发工程师,10k,18k,经验3-5年,大专,深圳,紫川软件,"电商,金融",不需要融资,500-2000人,五险一金 员工旅游 员工体检,https://www.lagou.com/jobs/3556863.html
运维工程师,10k,20k,经验1-3年,本科,北京,音娱时光,移动互联网,A轮,50-150人,团队优秀；海外市场；免费餐饮；租房津贴；,https://www.lagou.com/jobs/6051525.html
实施工程师,10k,20k,经验3-5年,本科,上海,捷通华声,"移动互联网,数据服务",不需要融资,150-500人,福利待遇好，有发展前景，半年调薪,https://www.lagou.com/jobs/3984790.html
高级Java开发工程师-资产,25k,35k,经验5-10年,本科,北京,凡普金科,金融,不需要融资,2000人以上,发展空间大,https://www.lagou.com/jobs/5992654.html
资深Java工程师,30k,50k,经验3-5年,本科,北京,贝壳,房产家居,D轮及以上,2000人以上,"15薪,大平台,免费三餐,健身房",https://www.lagou.com/jobs/4859915.html
DBA,18k,36k,经验3-5年,本科,上海,收钱吧,移动互联网,C轮,500-2000人,"平台大,牛人多,福利好",https://www.lagou.com/jobs/4616111.html
运维开发工程师,25k,45k,经验3-5年,本科,杭州,呆萝卜,"移动互联网,电商",A轮,500-2000人,新零售赛道 成熟商业模式,https://www.lagou.com/jobs/5533644.html
技术架构师,35k,70k,经验5-10年,本科,北京,会小二网,企业服务,B轮,150-500人,行业领先、顶级VC、精英团队、期权奖励,https://www.lagou.com/jobs/5922888.html
测试开发专家（MJ000721）,30k,50k,经验5-10年,本科,杭州,挖财,工具,D轮及以上,500-2000人,"晋升空间,公司平台,弹性工作",https://www.lagou.com/jobs/5029849.html
中/高 java开发工程师,10k,20k,经验1-3年,本科,广州,分利宝金服,"金融,移动互联网",C轮,150-500人,"互联网,五险一金,年终绩效奖,周末双休",https://www.lagou.com/jobs/3339159.html
后端开发工程师,16k,26k,经验1-3年,本科,上海,海深科技,"移动互联网,电商",A轮,15-50人,年底多薪 带薪年假 团队氛围好,https://www.lagou.com/jobs/5800604.html
java开发工程师（中高级）,10k,20k,经验3-5年,大专,深圳,深圳市天天爱科技有限公司,游戏,不需要融资,150-500人,月度绩效奖金、年终奖丰厚、平台实力强,https://www.lagou.com/jobs/5337812.html
Java开发工程师,8k,13k,经验1-3年,大专,深圳,紫川软件,"电商,金融",不需要融资,500-2000人,提供在行业中非常具有竞争力的薪水；,https://www.lagou.com/jobs/942213.html
25210H-Java开发工程师,13k,26k,经验3-5年,本科,深圳,陆金所,金融,B轮,2000人以上,"五险一金,节日福利,带薪年假,定期体检",https://www.lagou.com/jobs/5488507.html
